Frame,GT objects,reports,Tracks,Track_ID,Targets,Target_ID,Global Hyp
0,6,5,5,0,5,0,1
1,6,5,5,0,5,0,1
2,6,5,5,0,5,1,2
3,6,5,5,0,5,1,1
4,6,5,5,0,5,0,1
5,6,5,5,0,5,0,1
6,6,4,5,0,5,0,2
7,6,5,7,0,7,1,3
8,7,4,5,0,5,0,2
9,7,4,5,0,5,1,1
10,7,4,4,0,4,0,2
11,7,6,6,13,6,0,1
12,7,7,7,0,7,13,1
13,7,6,7,0,7,0,1
14,7,6,7,1,7,15,1
15,7,5,9,0,9,13,1
16,7,5,6,0,6,15,4
17,7,6,7,0,7,1,2
18,7,6,6,18,6,0,1
19,7,6,6,0,6,0,2
20,7,6,7,0,7,0,6
21,7,6,7,1,7,27,4
22,7,6,6,27,6,27,8
23,7,5,7,34,7,27,1
24,7,6,7,34,7,27,1
25,7,6,8,24,8,24,2
26,7,6,7,1,7,24,1
27,7,6,9,24,9,1,2
28,7,6,7,31,7,33,2
29,7,5,8,0,8,0,2
30,7,5,6,0,6,31,2
31,7,5,6,1,6,0,1
32,7,4,5,0,5,0,2
33,7,5,5,0,5,1,2
34,7,5,6,1,6,37,4
35,7,5,5,0,5,1,2
36,7,5,6,0,6,0,2
37,7,5,5,31,5,59,1
38,7,5,5,52,5,52,1
39,7,5,6,62,6,0,2
40,8,5,5,45,5,45,4
41,8,5,5,0,5,1,2
42,8,5,5,66,5,0,2
43,8,5,5,0,5,1,1
44,8,5,6,0,6,31,1
45,8,5,5,0,5,0,2
46,8,5,5,1,5,51,1
47,8,6,6,1,6,31,1
48,8,7,8,0,8,0,2
49,8,5,6,0,6,66,1
50,8,5,5,1,5,66,2
51,8,5,6,0,6,1,1
52,8,5,6,1,6,1,1
53,8,4,5,31,5,0,2
54,8,5,5,0,5,1,1
55,8,6,7,0,7,31,1
56,8,7,8,75,8,1,1
57,8,6,8,75,8,1,3
58,8,7,7,64,7,0,1
59,8,5,8,0,8,75,1
60,7,7,9,93,9,70,1
61,8,7,10,83,10,93,2
62,8,8,8,93,8,93,4
63,8,8,8,0,8,64,2
64,8,8,9,0,9,31,6
65,8,8,9,81,9,98,16
66,8,7,9,31,9,108,36
67,8,7,8,93,8,31,2
68,8,7,9,98,9,93,2
69,8,6,7,0,7,1,1
70,8,7,7,98,7,31,1
71,8,7,7,0,7,89,2
72,8,7,9,0,9,0,1
73,8,7,8,125,8,31,4
74,8,7,8,98,8,98,1
75,8,8,10,31,10,31,2
76,8,8,8,31,8,92,2
77,8,7,8,90,8,101,8
78,8,7,8,0,8,98,1
79,8,7,7,98,7,98,4
80,7,7,8,112,8,31,2
81,7,7,8,98,8,1,2
82,7,7,8,101,8,0,1
83,7,7,8,101,8,31,1
84,7,6,9,141,9,101,2
85,7,6,7,141,7,1,4
86,7,6,7,0,7,31,2
87,7,7,8,31,8,101,3
88,7,8,8,98,8,0,2
89,7,7,8,31,8,0,8
90,7,8,9,122,9,151,2
91,7,8,10,122,10,107,2
92,7,7,9,132,9,101,2
93,7,7,10,107,10,98,4
94,7,7,8,0,8,101,2
95,7,7,8,31,8,31,2
96,7,7,7,0,7,130,4
97,7,7,8,0,8,1,4
98,7,7,8,31,8,98,6
