Frame,GT objects,reports,Tracks,Track_ID,Targets,Target_ID,Global Hyp
0,42,36,36,7,36,5,1
1,42,37,37,8,37,0,2
2,42,37,37,6,37,4,2
3,42,35,38,4,38,2,1
4,42,35,36,0,36,6,1
5,42,33,35,3,35,8,1
6,42,34,35,5,35,1,1
7,42,34,35,8,35,2,2
8,42,34,34,2,34,4,2
9,42,35,35,1,35,2,1
10,42,34,35,6,35,7,1
11,42,34,35,1,35,6,1
12,42,31,35,8,35,3,4
13,42,34,35,0,35,6,1
14,42,34,34,7,34,7,1
15,42,32,35,8,35,2,1
16,42,32,35,1,35,1,1
17,42,33,35,5,35,34,1
18,43,32,35,6,35,6,4
19,43,32,34,1,34,5,1
20,43,31,33,3,33,4,1
21,43,31,33,2,33,2,2
22,43,30,32,3,32,4,2
23,43,30,31,8,31,4,1
24,43,30,32,0,32,5,4
25,43,29,31,7,31,3,1
26,43,30,32,6,32,8,1
27,43,31,32,7,32,4,4
28,43,31,32,3,32,6,8
29,43,31,31,6,31,3,1
30,42,31,32,7,32,5,1
31,42,30,30,34,30,6,1
32,42,30,30,8,30,6,2
33,42,31,31,2,31,7,4
34,42,31,31,6,31,5,2
35,42,30,30,34,30,6,1
36,42,30,30,3,30,7,8
37,42,30,30,178,30,4,1
38,42,30,30,2,30,3,2
39,42,29,30,3,30,2,1
40,42,29,30,4,30,4,1
41,42,29,30,2,30,7,1
42,42,29,29,3,29,1,1
43,42,29,30,1,30,1,1
44,41,29,29,7,29,6,2
45,41,30,30,8,30,3,1
46,41,30,30,6,30,1,2
47,41,30,31,6,31,4,1
48,41,30,30,3,30,0,1
49,41,30,30,6,30,34,1
50,41,30,30,1,30,1,1
51,41,30,30,2,30,7,2
52,41,29,30,7,30,4,1
53,41,29,32,177,32,177,1
54,41,31,32,3,32,7,4
55,41,30,31,6,31,384,1
56,41,30,30,2,30,137,1
57,41,31,31,8,31,8,1
58,41,31,31,436,31,3,2
59,41,30,30,177,30,6,3
60,41,30,30,1,30,137,1
61,41,30,31,4,31,0,1
62,41,30,31,6,31,7,4
63,41,32,33,177,33,1,2
64,41,32,33,2,33,177,2
65,41,32,32,4,32,3,1
66,41,32,32,3,32,474,1
67,41,32,32,5,32,4,1
68,41,30,32,6,32,177,1
69,41,31,32,8,32,1,1
70,42,30,32,8,32,7,1
71,41,30,31,8,31,6,1
72,41,30,31,7,31,6,1
73,41,30,30,342,30,5,1
74,41,30,31,2,31,3,1
75,41,30,30,474,30,7,1
76,41,31,31,6,31,6,2
77,41,30,31,469,31,1,3
78,41,31,31,1,31,8,2
79,41,32,32,0,32,638,1
80,40,32,33,384,33,178,1
81,40,32,32,7,32,4,1
82,40,32,32,2,32,6,1
83,40,32,32,3,32,466,1
84,40,32,32,474,32,2,1
85,40,32,32,6,32,4,1
86,40,32,32,6,32,3,1
87,40,32,32,7,32,638,1
88,40,32,32,474,32,178,1
89,40,33,33,384,33,0,1
90,40,32,33,2,33,0,2
91,40,32,32,8,32,178,2
92,40,32,33,6,33,638,1
93,40,32,32,3,32,5,2
94,40,32,32,474,32,1,1
95,40,33,33,4,33,178,2
96,40,32,32,469,32,7,2
97,40,31,32,342,32,8,1
98,40,32,32,6,32,3,2
