Frame,GT objects,reports,Tracks,Track_ID,Targets,Target_ID,Global Hyp
0,6,4,4,0,4,0,1
1,6,5,5,2,5,2,2
2,7,7,7,0,7,0,3
3,8,5,5,0,5,0,5
4,9,5,7,11,7,0,5
5,9,5,8,0,8,0,8
6,9,6,9,11,9,0,5
7,9,7,8,0,8,0,12
8,9,7,8,10,8,12,8
9,10,8,11,11,11,0,10
10,10,9,11,18,11,14,4
11,10,7,10,8,10,19,6
12,10,6,9,19,9,15,72
13,10,7,10,19,10,8,36
14,10,7,9,8,9,10,192
15,9,7,8,8,8,19,18
16,10,14,15,17,15,13,2
17,10,15,15,9,15,15,16
18,10,13,13,10,13,33,8
19,10,11,14,9,14,24,36
20,10,12,13,19,13,9,40
21,10,15,15,19,15,29,20
22,10,11,14,15,14,15,28
23,10,13,15,36,15,9,130
24,9,9,14,30,14,10,40
25,9,9,15,9,15,8,15
26,9,8,14,9,14,13,12
27,9,7,9,28,9,13,8
28,9,6,9,9,9,28,4
29,9,6,8,15,8,8,7
30,9,5,7,15,7,28,10
31,9,5,6,15,6,15,9
32,9,5,6,8,6,15,4
33,9,6,8,15,8,8,18
34,9,7,8,9,8,28,16
35,9,7,8,9,8,50,54
36,9,7,7,9,7,30,5
37,9,7,8,50,8,8,32
38,9,7,8,41,8,48,12
39,9,6,9,41,9,41,1
40,7,6,8,30,8,50,2
41,7,6,11,41,11,62,6
42,7,5,11,52,11,62,4
43,7,3,11,67,11,50,2
44,6,5,6,66,6,66,32
45,6,7,8,49,8,50,8
46,6,7,10,62,10,66,1
47,6,4,8,50,8,67,1
48,6,5,7,62,7,66,1
49,6,3,5,67,5,66,2
50,6,4,4,66,4,50,3
51,6,6,7,66,7,66,2
52,6,2,4,66,4,67,2
53,6,4,6,62,6,62,2
54,6,4,5,81,5,62,4
55,5,4,5,66,5,67,2
56,5,4,5,67,5,64,1
57,5,4,5,64,5,67,1
58,5,2,3,66,3,62,1
59,5,3,4,67,4,67,1
60,5,3,3,67,3,67,1
61,5,3,3,87,3,66,1
62,5,3,3,67,3,87,1
63,5,3,3,87,3,87,1
64,5,2,3,67,3,67,1
65,6,2,3,87,3,87,1
66,6,2,3,67,3,67,1
67,6,3,3,67,3,87,1
68,8,4,4,87,4,71,1
69,8,5,5,92,5,66,2
70,8,5,5,87,5,71,2
71,8,5,6,92,6,95,4
72,8,4,4,71,4,71,7
73,8,5,5,100,5,66,2
74,8,3,4,66,4,71,3
75,8,5,5,67,5,72,2
76,8,4,4,87,4,87,3
77,8,4,4,87,4,87,1
78,8,4,4,67,4,66,1
79,8,4,4,66,4,67,1
80,8,4,4,87,4,67,1
81,8,4,4,67,4,87,1
82,8,4,4,87,4,71,2
83,8,4,4,67,4,87,1
84,8,4,5,82,5,71,1
85,9,4,5,66,5,71,1
86,9,5,5,66,5,67,1
87,9,4,6,67,6,67,1
88,9,4,5,82,5,67,1
89,8,4,5,87,5,71,1
90,8,4,6,92,6,82,1
91,8,5,5,66,5,71,4
92,10,6,6,95,6,96,2
93,10,5,5,67,5,66,4
94,10,6,6,67,6,71,2
95,10,4,5,67,5,71,2
96,9,4,5,66,5,66,1
97,9,5,5,67,5,71,2
98,9,5,5,87,5,129,3
