Frame,GT objects,reports,Tracks,Track_ID,Targets,Target_ID,Global Hyp
0,22,19,19,1,19,3,1
1,22,20,20,0,20,3,16
2,21,18,20,0,20,3,4
3,21,19,20,2,20,7,6
4,21,20,22,1,22,15,12
5,21,17,21,1,21,6,48
6,21,20,22,0,22,22,48
7,21,19,21,39,21,1,144
8,21,21,24,22,24,6,144
9,21,22,26,27,26,4,108
10,21,21,22,22,22,1,24
11,20,19,21,1,21,35,3
12,21,19,21,44,21,4,24
13,21,21,22,2,22,31,4
14,22,20,22,2,22,53,12
15,23,19,23,2,23,57,24
16,23,20,22,2,22,0,8
17,24,21,24,31,24,4,8
18,24,20,23,0,23,61,42
19,24,20,23,2,23,1,144
20,23,20,21,1,21,2,360
21,22,20,22,1,22,1,16
22,22,19,22,3,22,103,270
23,22,21,23,2,23,7,144
24,22,19,24,111,24,22,216
25,23,21,25,94,25,89,288
26,23,23,24,1,24,2,160
27,23,24,25,7,25,140,432
28,23,19,24,146,24,44,192
29,22,21,25,31,25,125,264
30,23,18,26,60,26,31,5120
31,23,18,23,31,23,7,512
32,23,17,21,159,21,0,384
33,22,16,18,120,18,150,80
34,22,15,16,3,16,140,192
35,22,17,17,44,17,4,288
36,21,19,20,44,20,1,3072
37,21,18,21,171,21,89,288
38,21,16,21,44,21,0,72
39,22,15,18,89,18,89,112
40,22,15,17,7,17,89,5
41,22,16,16,2,16,0,16
42,23,15,15,175,15,175,18
43,23,14,15,31,15,44,8
44,24,15,15,1,15,140,16
45,23,20,20,1,20,44,16
46,23,18,18,1,18,1,12
47,23,18,20,216,20,2,40
48,23,17,17,208,17,31,48
49,22,17,17,183,17,31,12
50,22,18,18,140,18,140,16
51,22,16,17,0,17,172,72
52,23,18,18,210,18,0,8
53,23,17,19,3,19,1,24
54,23,17,18,210,18,0,77
55,23,16,19,2,19,1,100
56,23,17,18,172,18,208,77
57,25,17,18,7,18,210,4
58,25,17,17,172,17,89,4
59,25,18,18,172,18,4,8
60,25,19,19,3,19,171,12
61,25,19,19,172,19,3,8
62,25,20,23,0,23,3,48
63,25,21,21,283,21,172,256
64,25,20,20,1,20,1,128
65,27,19,19,225,19,2,48
66,27,21,23,171,23,210,48
67,27,22,22,1,22,1,96
68,27,19,20,253,20,1,64
69,27,24,24,0,24,210,64
70,27,23,23,172,23,277,144
71,27,22,23,89,23,1,288
72,26,23,24,3,24,312,1152
73,27,21,22,44,22,2,120
74,27,26,26,225,26,315,128
75,28,24,24,210,24,253,960
76,28,22,24,1,24,172,168
77,28,24,25,171,25,4,432
78,28,23,25,312,25,316,1440
79,28,24,24,321,24,336,324
80,28,26,26,2,26,321,168
81,28,23,24,0,24,284,1296
82,28,25,25,172,25,316,864
83,29,24,24,1,24,284,288
84,30,25,26,3,26,140,864
85,30,26,27,171,27,0,10752
86,30,27,27,7,27,229,840
87,30,27,28,171,28,140,1760
88,30,22,26,31,26,44,175
89,30,24,27,31,27,0,882
90,30,27,27,2,27,172,1152
91,30,27,28,391,28,384,396
92,30,25,27,312,27,172,240
93,30,24,27,7,27,391,90
94,30,26,28,44,28,1,231
95,30,25,27,89,27,229,80
96,31,25,26,44,26,253,24
97,31,27,27,31,27,3,12
98,31,23,26,0,26,253,36
