Frame,GT objects,reports,Tracks,Track_ID,Targets,Target_ID,Global Hyp
0,19,20,20,2,20,3,1
1,19,20,20,2,20,0,5
2,19,20,21,0,21,1,75
3,19,18,23,0,23,0,432
4,19,21,32,0,32,2,336
5,19,19,22,0,22,12,3840
6,19,21,25,2,25,16,16
7,19,20,21,3,21,1,5184
8,19,19,19,0,19,24,12
9,20,19,20,14,20,3,12
10,20,19,21,21,21,1,1
11,20,19,21,44,21,18,1
12,20,21,23,14,23,51,8
13,20,19,22,18,22,51,24
14,20,18,24,3,24,52,46
15,20,18,21,3,21,17,48
16,20,17,19,37,19,35,32
17,20,20,22,0,22,1,240
18,20,17,18,14,18,2,432
19,20,17,24,14,24,62,144
20,20,18,23,0,23,12,800
21,20,19,26,20,26,74,192
22,20,19,25,18,25,0,1296
23,20,20,29,87,29,14,304
24,20,17,26,89,26,52,200
25,20,17,24,83,24,14,4032
26,20,17,28,89,28,50,28
27,20,19,23,102,23,101,1024
28,20,19,23,3,23,85,960
29,20,21,28,97,28,116,108
30,20,17,20,103,20,85,3840
31,20,17,23,85,23,86,80
32,20,17,23,113,23,121,1536
33,20,19,25,123,25,109,1760
34,19,16,23,98,23,89,1152
35,19,15,19,118,19,122,16
36,19,16,19,98,19,110,16
37,19,17,17,111,17,128,12
38,19,16,19,149,19,138,48
39,20,17,23,128,23,85,144
40,22,17,23,146,23,127,128
41,22,18,21,128,21,125,6
42,22,18,18,129,18,118,6
43,22,17,23,118,23,132,352
44,22,19,25,132,25,168,1980
45,22,17,23,148,23,98,144
46,22,19,22,179,22,170,112
47,22,19,23,164,23,118,96
48,22,18,21,178,21,143,72
49,23,16,22,125,22,107,312
50,22,17,21,118,21,170,648
51,21,16,20,119,20,110,2304
52,21,16,18,110,18,140,360
53,20,16,19,118,19,107,432
54,20,16,20,193,20,148,128
55,20,16,19,149,19,125,16
56,20,18,20,129,20,173,72
57,20,18,19,110,19,176,12
58,20,16,19,176,19,129,5
59,19,17,22,175,22,118,32
60,18,16,22,175,22,148,20
61,18,14,19,168,19,178,42
62,18,14,17,148,17,178,50
63,18,14,16,110,16,110,35
64,17,15,19,149,19,189,10
65,17,14,18,141,18,214,6
66,16,14,16,216,16,173,12
67,17,14,14,175,14,216,32
68,17,15,17,119,17,175,18
69,17,14,19,119,19,190,16
70,15,11,17,171,17,190,4
71,15,12,16,242,16,216,2
72,14,11,13,216,13,125,2
73,14,11,13,216,13,216,1
74,14,11,12,110,12,232,8
75,14,12,12,248,12,175,2
76,14,12,13,236,13,125,4
77,14,11,11,175,11,216,4
78,14,11,11,236,11,171,2
79,14,10,12,232,12,175,1
80,14,10,12,246,12,232,1
81,14,10,12,216,12,246,1
82,13,10,10,125,10,232,2
83,13,11,11,216,11,258,1
84,13,12,12,277,12,216,1
85,13,13,13,110,13,260,2
86,13,12,12,232,12,232,1
87,13,11,11,119,11,193,1
88,13,9,11,175,11,216,1
89,14,10,12,110,12,274,1
90,14,13,14,125,14,274,1
91,15,13,13,119,13,125,2
92,15,14,15,175,15,258,2
93,15,13,14,258,14,282,4
94,16,13,14,125,14,119,4
95,16,10,12,125,12,119,1
96,16,11,13,295,13,171,1
97,17,12,13,258,13,274,2
98,16,13,13,125,13,175,1
