Frame,GT objects,reports,Targets,Global Hyp
0,6,3,3,1
1,6,3,3,1
2,7,4,4,1
3,8,5,5,2
4,9,6,6,4
5,9,5,6,4
6,9,5,6,4
7,9,5,6,3
8,9,7,7,6
9,10,8,8,9
10,10,7,8,18
11,10,8,8,15
12,10,9,9,12
13,10,7,8,21
14,10,7,8,12
15,9,6,7,3
16,10,6,8,3
17,10,5,7,3
18,10,4,7,3
19,10,4,6,3
20,10,4,5,2
21,10,4,4,1
22,10,4,4,1
23,10,2,4,1
24,9,2,4,1
25,9,2,4,1
26,9,2,2,1
27,9,2,2,1
28,9,2,2,1
29,9,3,3,1
30,9,3,3,1
31,9,4,4,1
32,9,5,5,2
33,9,5,5,2
34,9,6,6,2
35,9,5,5,2
36,9,5,5,2
37,9,4,5,2
38,9,4,5,2
39,9,4,5,2
40,7,3,5,2
41,7,2,4,2
42,7,2,4,2
43,7,2,3,2
44,6,2,2,1
45,6,2,2,1
46,6,2,2,1
47,6,2,2,1
48,6,2,2,1
49,6,3,3,1
50,6,2,2,1
51,6,2,2,1
52,6,2,2,1
53,6,2,2,1
54,6,2,2,1
55,5,2,2,1
56,5,2,2,1
57,5,2,2,1
58,5,2,2,1
59,5,2,2,1
60,5,2,2,1
61,5,2,2,1
62,5,3,3,1
63,5,3,3,1
64,5,2,3,1
65,6,3,3,1
66,6,3,3,1
67,6,3,3,1
68,8,3,3,1
69,8,3,3,1
70,8,3,3,1
71,8,3,3,1
72,8,3,3,1
73,8,3,3,1
74,8,2,3,1
75,8,2,3,1
76,8,2,3,1
77,8,2,2,1
78,8,2,2,1
79,8,2,2,1
80,8,2,2,1
81,8,2,2,1
82,8,2,2,1
83,8,2,2,1
84,8,3,3,1
85,9,3,3,1
86,9,3,3,1
87,9,2,3,1
88,9,2,3,1
89,8,2,2,1
90,8,2,2,1
91,8,2,2,1
92,10,2,2,1
93,10,2,2,1
94,10,2,2,1
95,10,2,2,1
96,9,2,2,1
97,9,2,2,1
98,9,2,2,1
99,9,2,2,1
100,9,2,2,1
101,9,2,2,1
102,9,2,2,1
103,9,2,2,1
104,9,2,2,1
105,9,2,2,1
106,9,2,2,1
107,9,2,2,1
108,9,2,2,1
109,9,2,2,1
110,9,2,2,1
111,9,2,2,1
112,9,2,2,1
113,9,2,2,1
114,9,2,2,1
115,9,2,2,1
116,9,2,2,1
117,9,2,2,1
118,9,2,2,1
119,9,2,2,1
120,9,2,2,1
121,9,2,2,1
122,9,2,2,1
123,9,2,2,1
124,9,3,3,1
125,9,3,3,1
126,9,3,3,1
127,9,3,3,1
128,10,3,3,1
129,10,3,3,1
130,10,3,3,1
131,10,3,3,1
132,10,3,3,1
133,10,3,3,1
134,10,3,3,1
135,10,3,3,1
136,10,3,3,1
137,10,3,3,1
138,10,3,3,1
139,10,3,3,1
140,9,3,3,1
141,9,3,3,1
142,9,3,3,1
143,9,3,3,1
144,9,2,3,1
145,9,2,3,1
146,9,2,3,1
147,9,2,2,1
148,9,2,2,1
149,9,2,2,1
150,9,2,2,1
151,9,2,2,1
152,9,3,3,1
153,9,4,4,1
154,9,4,4,1
155,9,5,5,1
156,9,5,5,1
157,9,5,5,1
158,9,5,5,1
159,9,6,6,1
160,8,6,6,1
161,8,6,6,1
162,8,6,6,1
163,8,6,6,1
164,8,5,6,2
165,8,5,6,4
166,8,6,6,2
167,8,5,6,4
168,8,5,6,6
169,8,4,5,7
170,8,2,5,1
171,8,2,5,1
172,8,2,4,1
173,8,2,2,1
174,8,2,2,1
175,8,2,2,1
176,8,3,3,1
177,8,6,6,1
178,8,6,6,1
179,8,6,6,1
180,8,6,6,1
181,8,6,6,1
182,8,6,6,1
183,8,5,6,1
184,9,5,6,2
185,9,5,6,3
186,9,5,5,7
187,9,5,5,2
188,9,5,5,2
189,9,5,5,2
190,9,5,5,2
191,9,5,5,2
192,9,5,5,2
193,9,5,5,2
194,9,4,5,5
195,9,4,5,9
196,9,4,5,9
197,9,4,4,3
198,9,4,4,1
199,9,4,4,1
200,9,3,4,1
201,9,4,4,1
202,9,3,4,2
203,9,4,4,2
204,7,4,4,2
205,7,3,4,3
206,6,4,4,2
207,6,4,4,2
208,6,4,4,1
209,6,4,4,1
210,6,4,4,1
211,6,5,5,1
212,6,5,5,1
213,6,5,6,1
214,6,5,5,1
215,6,5,5,1
216,6,5,5,1
217,6,5,5,1
218,6,5,5,1
219,6,6,6,1
220,6,6,6,1
221,6,6,6,1
222,6,6,6,1
223,6,6,6,1
224,7,6,6,1
225,7,6,6,1
226,7,6,6,1
227,7,6,6,1
228,8,5,6,2
229,8,6,7,4
230,8,7,7,2
231,8,7,7,2
232,8,7,7,2
233,9,6,8,4
234,9,5,7,6
235,9,5,7,5
236,10,5,5,7
237,10,4,5,1
238,10,4,5,1
239,8,4,5,1
240,6,3,4,1
241,9,4,5,1
242,9,4,5,1
243,9,6,6,1
244,10,6,6,1
245,10,6,6,2
246,9,5,6,1
247,9,5,6,1
248,9,5,5,2
249,11,4,5,1
250,11,5,6,1
251,11,6,7,1
252,13,6,6,1
253,13,5,6,2
254,11,6,7,4
255,11,5,7,10
256,12,5,6,18
257,11,5,7,4
258,10,4,6,16
259,10,5,6,1
260,9,5,6,1
261,8,3,5,1
262,8,4,5,2
263,8,4,5,4
264,8,4,4,5
265,8,4,4,1
266,8,4,5,1
267,8,4,5,1
268,10,4,5,1
269,11,3,4,1
270,11,3,4,2
271,11,3,4,2
272,11,4,4,2
273,10,4,5,4
274,10,4,5,2
275,10,4,5,1
276,10,3,3,2
277,10,3,3,1
278,10,4,5,2
279,10,6,6,2
280,10,6,7,8
281,10,4,4,3
282,10,4,5,4
283,10,6,8,6
284,9,5,6,6
285,9,5,7,3
286,9,5,7,2
287,9,4,6,4
288,8,5,5,2
289,8,5,5,2
290,8,4,5,2
291,8,4,4,2
292,9,5,5,1
293,9,5,6,1
294,9,4,4,2
295,9,5,5,1
296,10,4,4,2
297,10,5,5,2
298,10,6,6,1
299,11,6,6,1
300,11,6,6,2
301,11,5,6,2
302,13,5,7,2
303,14,6,8,4
304,14,8,8,12
305,13,6,7,2
306,13,7,8,1
307,13,5,7,2
308,12,7,8,4
309,11,7,8,2
310,11,7,9,1
311,11,7,8,1
312,12,7,7,2
313,11,7,7,1
314,11,6,7,2
315,11,6,7,3
316,10,5,7,3
317,10,5,6,6
318,9,5,6,2
319,9,5,5,3
320,9,5,6,2
321,9,5,6,1
322,9,5,7,1
323,10,7,7,2
324,12,6,6,2
325,12,6,6,1
326,11,7,7,2
327,11,5,6,1
328,11,5,6,4
329,11,5,6,9
330,11,4,5,4
331,11,5,7,2
332,10,5,7,2
333,10,5,7,4
334,9,5,6,2
335,9,6,7,1
336,8,6,7,1
337,9,6,6,2
338,9,5,6,1
339,8,4,6,2
340,9,4,6,3
341,8,4,5,4
342,8,6,6,1
343,8,6,6,1
344,8,6,6,1
345,8,6,7,1
346,7,6,6,3
347,7,5,6,1
348,7,4,6,2
349,6,4,6,4
350,6,4,5,5
351,6,5,5,1
352,8,5,5,2
353,8,5,5,1
354,8,5,6,2
355,8,5,6,4
356,8,4,6,5
357,7,4,5,5
358,7,4,7,2
