Frame,GT objects,reports,Targets,Global Hyp
0,17,7,7,1
1,17,7,7,1
2,17,7,7,1
3,17,7,7,2
4,17,7,7,2
5,17,7,7,1
6,17,8,8,1
7,17,7,8,1
8,17,7,8,1
9,17,7,8,1
10,17,7,7,1
11,17,8,8,1
12,17,8,8,1
13,16,8,8,1
14,16,8,8,1
15,16,9,9,1
16,16,9,9,1
17,16,9,9,2
18,16,8,9,1
19,15,7,9,1
20,15,7,9,1
21,15,7,8,8
22,16,7,7,2
23,14,7,7,1
24,14,7,7,1
25,15,6,7,1
26,15,8,9,1
27,15,10,11,2
28,15,10,10,2
29,15,9,10,2
30,15,8,9,2
31,15,8,9,2
32,15,6,8,2
33,15,6,8,1
34,14,6,8,1
35,14,6,6,1
36,14,6,6,1
37,14,6,6,1
38,14,6,6,1
39,14,7,7,1
40,14,7,7,1
41,14,7,7,1
42,14,7,7,1
43,14,6,7,1
44,14,6,7,1
45,14,7,7,2
46,14,7,7,1
47,14,7,7,1
48,14,7,7,1
49,14,7,7,1
50,14,7,7,1
51,14,7,7,1
52,14,6,7,1
53,14,6,7,1
54,14,6,7,1
55,14,6,6,1
56,14,6,6,1
57,13,6,6,1
58,13,6,6,1
59,13,6,6,1
60,13,5,6,1
61,13,5,6,1
62,13,5,6,1
63,13,5,5,2
64,13,5,5,1
65,13,5,5,1
66,13,5,5,1
67,13,5,5,1
68,13,5,5,1
69,13,5,5,1
70,13,5,5,1
71,13,5,5,1
72,13,5,5,2
73,13,5,5,1
74,13,5,5,1
75,13,5,5,1
76,13,5,5,1
77,12,5,6,1
78,12,4,5,1
79,12,4,5,1
80,13,4,4,1
81,13,5,5,1
82,13,6,6,1
83,13,8,8,1
84,13,9,10,2
85,13,9,11,1
86,13,10,10,1
87,13,9,10,2
88,13,10,10,5
89,14,10,10,1
90,15,9,10,1
91,15,9,9,1
92,15,11,11,2
93,15,10,10,4
94,15,10,10,2
95,15,9,10,6
96,15,10,10,2
97,15,9,10,2
98,15,9,10,4
99,14,9,11,7
100,13,10,10,18
101,13,8,9,2
102,12,8,9,1
103,12,9,9,1
104,12,9,10,1
105,12,8,9,1
106,12,8,8,1
107,12,8,8,1
108,13,8,8,1
109,13,8,8,1
110,13,8,8,1
111,13,7,8,1
112,13,7,8,1
113,13,7,8,1
114,13,7,7,2
115,12,7,7,1
116,12,6,7,1
117,12,6,7,1
118,12,7,7,1
119,12,6,7,1
120,12,6,7,1
121,12,6,6,1
122,13,6,6,1
123,13,6,6,1
124,13,6,6,1
125,13,6,6,1
126,13,6,6,1
127,12,6,6,1
128,12,6,6,1
129,12,6,6,1
130,12,6,6,1
131,12,7,7,1
132,12,7,7,1
133,12,7,7,1
134,12,7,7,1
135,12,7,7,1
136,12,7,7,1
137,12,7,7,1
138,12,7,7,1
139,12,7,7,1
140,12,7,7,1
141,12,7,7,1
142,12,7,7,1
143,11,7,7,1
144,11,7,7,1
145,11,7,7,1
146,11,7,7,1
147,11,7,7,1
148,11,7,7,1
149,11,7,7,1
150,10,7,7,1
151,10,7,7,1
152,10,6,7,1
153,10,6,7,1
154,10,6,7,1
155,10,6,6,1
156,10,6,6,1
157,10,7,7,1
158,10,6,6,1
159,10,7,7,1
160,9,7,7,1
161,9,7,7,1
162,9,7,7,1
163,9,8,8,1
164,9,8,8,1
165,9,8,8,1
166,9,7,8,2
167,9,7,8,1
168,9,7,8,1
169,9,7,7,1
170,9,7,7,1
171,10,6,7,1
172,10,6,7,1
173,10,6,7,1
174,10,6,6,1
175,10,6,6,1
176,10,6,7,1
177,10,6,6,1
178,10,5,6,1
179,10,5,6,1
180,10,5,6,1
181,10,5,5,2
182,10,5,5,1
183,9,5,5,1
184,9,5,5,1
185,8,5,5,1
186,8,5,5,1
187,8,5,5,1
188,8,5,5,1
189,8,5,5,1
190,8,5,5,1
191,10,5,5,1
192,10,5,5,1
193,10,5,5,1
194,10,5,5,1
195,10,5,5,1
196,10,5,5,1
197,10,5,5,1
198,10,5,5,1
199,10,5,5,1
200,10,5,5,1
201,10,5,5,1
202,10,5,5,1
203,10,6,6,1
204,10,5,5,1
205,10,5,5,1
206,10,5,5,1
207,10,6,6,1
208,10,6,6,1
209,10,6,6,1
210,10,6,6,1
211,10,5,6,1
212,10,5,6,1
213,10,5,6,1
214,10,5,5,1
215,10,5,5,1
216,10,5,5,1
217,10,5,5,1
218,10,5,5,1
219,10,5,5,1
220,10,5,5,1
221,10,6,6,1
222,9,6,6,1
223,9,6,6,1
224,9,6,6,1
225,9,6,6,1
226,9,6,6,1
227,9,7,7,1
228,10,7,7,1
229,10,7,7,1
230,10,7,7,1
231,10,7,7,1
232,10,7,7,1
233,10,7,7,1
234,10,8,8,1
235,10,8,8,1
236,10,8,8,1
237,10,9,9,2
238,10,8,8,3
239,10,8,8,1
240,10,8,8,1
241,10,8,8,1
242,10,8,8,2
243,10,8,8,2
244,10,9,9,2
245,10,9,9,5
246,10,8,8,3
247,11,9,9,1
248,13,8,9,2
249,14,8,9,1
250,14,7,9,1
251,13,7,8,1
252,13,7,8,1
253,13,8,8,1
254,13,9,9,2
255,12,9,10,2
256,12,8,8,4
257,12,8,8,2
258,12,8,9,2
259,12,8,9,2
260,12,9,10,8
261,12,9,9,2
262,12,9,9,1
263,12,9,9,1
264,12,9,9,1
265,12,10,10,2
266,12,9,10,1
267,12,9,10,1
268,11,9,10,1
269,11,9,9,1
270,11,9,9,1
271,11,10,10,2
272,11,9,9,3
273,11,9,9,1
274,11,10,10,2
275,11,9,10,3
276,10,8,10,4
277,10,7,9,2
278,10,7,8,1
279,10,7,8,1
280,10,7,7,1
281,10,7,7,1
282,10,7,7,1
283,10,7,7,1
284,10,7,7,1
285,9,7,7,1
286,9,7,7,1
287,9,7,7,1
288,9,8,8,2
289,9,8,8,1
290,9,8,8,1
291,9,8,8,2
292,9,8,8,1
293,9,8,8,1
294,9,8,8,1
295,9,8,8,1
296,9,8,8,1
297,9,8,8,1
298,9,8,8,1
299,10,10,10,2
300,11,10,10,1
301,11,11,12,2
302,11,10,10,6
303,11,8,10,2
304,11,9,10,5
305,11,9,10,2
306,11,8,9,4
307,11,8,9,1
308,10,8,9,1
309,10,8,9,8
310,10,7,8,6
311,10,7,8,1
312,10,8,8,1
313,10,8,8,2
314,10,8,8,1
315,10,7,8,2
316,10,7,8,1
317,10,7,8,1
318,9,7,7,1
319,9,7,8,1
320,9,6,7,1
321,9,6,7,1
322,9,6,7,1
323,9,6,6,1
324,9,5,6,1
325,9,4,6,1
326,8,4,6,1
327,8,4,5,1
328,9,5,5,1
329,9,5,5,1
330,9,6,6,1
331,9,5,5,1
332,9,5,5,1
333,9,5,5,1
334,9,5,5,1
335,7,6,6,1
336,7,6,6,1
337,7,6,6,1
338,7,6,6,2
339,8,6,6,1
340,8,6,6,1
341,8,6,7,1
342,8,5,6,1
343,8,6,7,1
344,8,6,6,1
345,7,5,6,1
346,7,5,5,1
347,7,5,5,1
348,7,5,5,1
349,7,5,5,1
350,7,5,5,1
351,7,5,5,1
352,7,5,5,1
353,7,6,6,1
354,7,6,6,1
355,7,6,6,2
356,7,6,6,1
357,7,6,6,1
358,7,6,6,1
359,7,6,6,1
360,7,6,6,1
361,7,6,6,1
362,7,5,6,1
363,7,5,6,1
364,7,5,6,1
365,7,6,6,1
366,7,5,6,1
367,7,5,5,1
368,8,5,5,1
369,8,5,5,1
370,8,5,5,1
371,8,5,5,1
372,8,5,5,1
373,8,5,5,1
374,8,5,5,1
375,8,5,5,1
376,8,5,5,1
377,9,5,5,1
378,9,5,5,1
379,9,5,5,1
380,9,5,5,1
381,9,6,6,1
382,9,6,6,1
383,9,6,6,1
384,9,6,6,1
385,9,6,6,1
386,9,6,6,1
387,9,6,6,1
388,9,6,6,1
389,9,6,6,1
390,9,6,6,1
391,9,6,6,1
392,9,6,6,1
393,9,6,6,1
394,9,6,6,1
395,9,6,6,1
396,9,6,6,1
397,9,6,6,1
398,9,7,7,1
399,9,7,7,1
400,9,6,7,1
401,9,6,7,1
402,9,6,8,1
403,9,6,7,2
404,9,6,6,2
405,9,6,6,4
406,9,6,6,1
407,9,6,6,1
408,9,6,6,1
409,9,6,6,1
410,9,6,6,1
411,9,7,7,1
412,9,7,7,1
413,9,7,7,1
414,9,7,7,1
415,9,7,7,1
416,9,7,7,2
417,9,7,7,1
418,9,7,7,1
419,9,7,7,1
420,9,7,7,2
421,9,7,7,1
422,9,7,7,1
423,9,7,8,1
424,9,6,7,1
425,9,6,7,1
426,10,6,6,1
427,11,6,7,1
428,11,6,7,1
429,11,6,7,1
430,11,6,6,2
431,11,6,6,1
432,11,6,6,1
433,11,6,6,1
434,11,6,6,1
435,11,6,6,1
436,11,6,6,1
437,11,6,6,1
438,11,6,6,1
439,11,7,7,1
440,11,7,7,1
441,11,7,7,1
442,11,6,8,1
443,11,6,7,1
