Frame,GT objects,reports,Targets,Global Hyp
0,19,20,20,1
1,19,20,20,6
2,19,20,20,160
3,19,18,19,28
4,19,21,22,40
5,19,19,20,68
6,19,21,23,42
7,19,20,22,36
8,19,19,20,56
9,20,19,21,64
10,20,19,22,54
11,20,19,20,28
12,20,21,21,20
13,20,19,21,48
14,20,18,22,80
15,20,18,21,44
16,20,17,19,84
17,20,20,21,72
18,20,17,18,51
19,20,17,18,192
20,20,18,18,24
21,20,19,19,24
22,20,19,19,168
23,20,20,20,33
24,20,17,24,552
25,20,17,23,1664
26,20,17,26,616
27,20,19,21,3456
28,20,19,21,52
29,20,21,24,22
30,20,17,20,816
31,20,17,19,1036
32,20,17,18,240
33,20,19,21,18
34,19,16,17,44
35,19,15,17,7
36,19,16,17,12
37,19,17,18,34
38,19,16,16,16
39,20,17,18,14
40,22,17,18,48
41,22,18,19,17
42,22,18,18,22
43,22,17,19,13
44,22,19,19,32
45,22,17,18,32
46,22,19,19,11
47,22,19,19,40
48,22,18,19,15
49,23,16,18,36
50,22,17,20,13
51,21,16,17,37
52,21,16,16,4
53,20,16,17,22
54,20,16,17,256
55,20,16,17,14
56,20,18,19,72
57,20,18,19,128
58,20,16,19,245
59,19,17,20,30
60,18,16,19,20
61,18,14,17,26
62,18,14,16,50
63,18,14,15,34
64,17,15,16,36
65,17,14,15,6
66,16,14,15,5
67,17,14,14,10
68,17,15,16,20
69,17,14,16,39
70,15,11,16,68
71,15,12,16,12
72,14,11,13,20
73,14,11,12,10
74,14,11,11,2
75,14,12,12,2
76,14,12,12,4
77,14,11,11,2
78,14,11,11,2
79,14,10,11,4
80,14,10,11,2
81,14,10,12,2
82,13,10,10,12
83,13,11,11,2
84,13,12,12,2
85,13,13,14,2
86,13,12,12,4
87,13,11,12,2
88,13,9,11,2
89,14,10,13,4
90,14,13,15,2
91,15,13,14,4
92,15,14,15,8
93,15,13,14,28
94,16,13,14,4
95,16,10,13,6
96,16,11,13,4
97,17,12,13,4
98,16,13,13,8
99,16,12,12,8
100,16,13,13,8
101,16,11,12,18
102,16,11,12,10
103,16,12,12,6
104,16,14,14,36
105,16,12,12,36
106,16,12,12,12
107,16,13,13,6
108,16,14,14,24
109,16,11,13,24
110,16,12,13,12
111,16,12,13,12
112,16,11,12,12
113,16,11,12,60
114,16,12,12,36
115,16,13,14,36
116,16,13,14,40
117,16,14,16,100
118,17,12,13,48
119,17,13,13,16
120,17,15,18,168
121,17,14,16,64
122,17,14,17,8
123,18,14,14,14
124,18,14,14,4
125,18,14,15,2
126,19,14,15,2
127,19,15,16,2
128,19,15,15,2
129,19,15,15,3
130,19,14,14,2
131,19,15,15,2
132,19,14,15,4
133,19,14,17,4
134,19,14,16,16
135,19,14,15,32
136,19,14,15,8
137,19,14,14,4
138,19,15,15,2
139,19,15,15,2
140,19,14,15,2
141,19,15,15,2
142,20,14,15,2
143,21,14,15,2
144,21,15,16,2
145,21,12,17,2
146,21,15,16,16
147,21,15,16,4
148,21,15,16,4
149,21,14,14,12
150,21,15,15,2
151,21,15,15,4
152,21,14,15,2
153,21,15,16,2
154,21,15,15,6
155,21,16,16,4
156,21,15,16,2
157,21,16,17,4
158,21,16,17,12
159,21,16,16,2
160,21,16,18,32
161,21,15,16,12
162,20,15,17,4
163,21,16,16,12
164,21,17,18,12
165,21,19,20,768
166,21,16,16,480
167,22,15,16,24
168,21,14,16,18
169,21,15,17,44
170,21,17,19,96
171,21,16,16,48
172,21,17,17,2
173,21,13,15,48
174,22,18,18,48
175,22,19,19,48
176,22,17,18,16
177,22,18,18,12
178,22,19,19,16
179,22,17,17,24
180,23,17,17,8
181,23,19,20,8
182,23,18,19,4
183,23,18,20,48
184,23,17,18,160
185,23,17,19,80
186,23,15,17,108
187,23,17,19,16
188,23,17,19,16
189,23,17,19,24
190,23,18,19,16
191,23,17,18,8
192,23,17,17,4
193,23,17,18,4
194,23,17,18,8
195,23,16,18,48
196,23,18,19,16
197,23,18,20,16
198,23,17,19,384
199,23,16,17,52
200,22,16,18,56
201,22,14,17,12
202,23,15,16,64
203,23,17,18,10
204,23,15,17,12
205,23,15,16,48
206,23,17,17,48
207,23,18,19,24
208,23,16,17,32
209,24,17,17,48
210,24,16,17,24
211,23,17,17,16
212,23,17,17,16
213,23,16,17,4
214,23,17,17,64
215,23,17,17,48
216,23,18,18,16
217,23,17,17,24
218,23,18,18,16
219,23,19,19,12
220,23,18,19,56
221,23,18,18,16
222,23,18,18,4
223,23,18,19,8
224,23,19,20,4
225,23,18,19,16
226,23,19,19,16
227,23,19,19,24
228,23,18,19,16
229,23,19,20,48
230,23,19,20,1300
231,24,19,20,768
232,24,19,20,56
233,24,18,20,72
234,25,19,20,12
235,25,19,22,48
236,25,18,21,90
237,25,18,21,144
238,25,19,20,56
239,25,19,19,40
240,25,18,19,8
241,25,18,19,4
242,25,17,19,32
243,25,18,21,480
244,25,19,19,448
245,25,17,19,32
246,25,17,19,96
247,25,19,20,32
248,25,17,19,32
249,25,17,18,36
250,25,20,20,72
251,25,20,20,28
252,26,20,21,160
253,26,20,20,192
254,26,19,19,2
255,26,19,20,2
256,26,21,22,12
257,26,19,19,64
258,26,19,21,160
259,27,19,20,576
260,27,18,19,72
261,27,19,20,168
262,27,19,20,54
263,27,19,20,264
264,27,21,22,54
265,26,23,23,480
266,26,22,23,156
267,26,23,23,60
268,26,21,22,36
269,26,19,23,36
270,26,21,24,92
271,26,21,24,240
272,26,21,23,64
273,26,22,23,64
274,25,22,23,144
275,25,23,24,288
276,25,23,25,1512
277,25,23,24,2304
278,25,22,24,408
279,24,21,24,396
280,24,23,27,4896
281,24,23,27,20160
282,24,21,23,1344
283,24,22,23,352
284,24,23,24,36
285,24,23,25,192
286,24,24,27,1440
287,24,22,24,1400
288,24,20,26,3648
289,24,20,22,2784
290,24,22,24,24
291,24,20,21,32
292,24,21,23,8
293,24,21,23,32
294,24,23,26,128
295,24,21,21,2394
296,24,21,22,48
297,24,21,24,68
298,24,21,24,92
299,24,22,23,52
300,24,22,25,156
301,24,21,22,928
302,24,22,23,152
303,24,20,21,208
304,24,22,22,64
305,24,22,22,16
306,24,21,23,176
307,24,21,22,12
308,24,21,23,120
309,24,20,21,120
310,24,23,24,14
311,24,21,24,18
312,24,20,24,280
313,24,21,22,912
314,24,22,22,40
315,24,19,21,240
316,24,20,23,324
317,24,19,20,92
318,24,20,22,20
319,24,19,19,20
320,24,19,19,5
321,24,19,20,10
322,23,20,20,24
323,23,19,21,16
324,23,19,21,15
325,23,20,21,34
326,23,19,20,8
327,23,18,20,192
328,23,16,19,5
329,23,18,19,1
330,23,18,18,4
331,23,17,18,4
332,23,17,18,12
333,23,17,18,2
334,23,17,17,8
335,22,19,19,3
336,22,17,19,14
337,22,18,19,12
338,22,19,19,25
339,22,20,21,30
340,22,17,19,114
341,21,17,21,160
342,21,16,19,40
343,21,15,18,12
344,20,16,17,16
345,20,15,16,40
346,20,15,15,16
347,20,14,16,2
348,20,14,16,12
349,21,14,16,40
350,21,13,15,64
351,20,13,15,10
352,20,12,16,3
353,20,13,14,16
354,20,14,14,8
355,20,13,13,4
356,20,15,17,3
357,20,16,17,72
358,20,14,15,16
359,20,14,15,1
360,20,14,15,2
361,20,14,15,2
362,20,14,14,2
363,20,15,18,8
364,20,14,16,16
365,20,14,16,9
366,20,14,14,15
367,20,15,16,24
368,20,16,18,504
369,20,14,15,224
370,20,15,16,18
371,20,13,15,280
372,20,16,16,40
373,20,14,16,12
374,20,12,16,96
375,20,14,16,32
376,20,14,14,16
377,20,13,13,10
378,20,13,14,22
379,20,14,14,30
380,20,15,15,7
381,20,14,15,19
382,20,12,15,27
383,20,14,18,84
384,21,15,16,156
385,21,13,14,16
386,21,14,15,12
387,21,13,15,24
388,20,14,15,12
389,20,14,14,18
390,20,13,14,20
391,20,14,14,6
392,20,14,14,6
393,20,15,16,6
394,20,15,15,6
395,20,15,15,6
396,19,13,16,24
397,19,15,15,12
398,19,13,16,12
399,19,15,15,32
400,18,16,17,52
401,18,14,15,36
402,19,15,16,12
403,19,15,15,16
404,19,15,15,32
405,19,14,15,28
406,19,15,15,18
407,19,15,15,14
408,19,15,16,28
409,19,14,15,14
410,18,13,15,28
411,18,13,14,40
412,18,14,14,12
413,18,14,14,24
414,18,14,14,12
415,18,14,15,12
416,18,12,15,312
417,18,12,15,272
418,18,12,14,420
419,18,12,12,48
420,18,13,13,1
421,18,13,13,3
422,18,13,13,6
423,18,13,13,3
424,18,12,13,12
425,18,14,15,4
426,18,16,17,72
427,18,15,15,32
428,18,14,15,24
429,18,14,15,39
430,18,15,15,18
431,18,14,15,24
432,18,16,16,64
433,18,15,16,132
434,18,16,16,21
