Frame,GT objects,reports,Targets,Global Hyp
0,6,9,9,1
1,6,8,8,1
2,6,8,10,1
3,6,9,10,2
4,6,8,9,4
5,6,8,9,2
6,6,8,9,6
7,6,8,9,2
8,7,10,12,2
9,7,8,8,6
10,7,8,10,2
11,7,6,8,3
12,7,7,10,2
13,7,8,9,3
14,7,9,11,2
15,7,9,9,1
16,7,10,12,2
17,7,13,13,1
18,7,10,14,4
19,7,9,11,4
20,7,10,11,2
21,7,10,10,3
22,7,10,13,2
23,7,10,11,3
24,7,9,13,3
25,7,7,11,2
26,7,7,12,2
27,7,7,9,8
28,7,7,9,1
29,7,8,11,4
30,7,7,8,4
31,7,8,11,4
32,7,8,12,2
33,7,10,11,4
34,7,10,11,1
35,7,9,11,2
36,7,9,13,1
37,7,10,13,2
38,7,11,13,2
39,7,11,14,2
40,8,10,13,1
41,8,9,11,2
42,8,9,11,4
43,8,10,10,6
44,8,9,11,1
45,8,10,13,1
46,8,10,13,2
47,8,10,11,1
48,8,11,11,1
49,8,12,13,1
50,8,11,12,4
51,8,10,13,4
52,8,9,12,2
53,8,9,11,4
54,8,11,13,2
55,8,11,13,6
56,8,12,14,6
57,8,13,16,2
58,8,12,12,5
59,8,12,14,2
60,7,13,14,3
61,8,12,13,2
62,8,13,15,2
63,8,14,15,4
64,8,14,16,1
65,8,13,16,2
66,8,12,13,1
67,8,12,15,1
68,8,14,16,4
69,8,16,20,4
70,8,16,17,36
71,8,14,16,4
72,8,12,16,4
73,8,12,15,2
74,8,12,14,4
75,8,11,13,2
76,8,12,16,1
77,8,13,15,8
78,8,14,17,32
79,8,14,16,8
80,7,13,18,2
81,7,13,18,16
82,7,12,18,6
83,7,13,17,8
84,7,13,16,4
85,7,10,14,2
86,7,11,13,1
87,7,13,17,2
88,7,12,16,2
89,7,10,18,32
90,7,12,14,12
91,7,10,14,2
92,7,12,16,2
93,7,11,14,4
94,7,12,13,4
95,7,9,13,6
96,7,10,12,24
97,7,13,15,2
98,7,13,14,10
99,7,12,13,2
