Frame,GT objects,reports,Targets,Global Hyp
0,22,18,18,1
1,22,23,23,64
2,21,21,22,960
3,21,19,20,96
4,21,19,22,1296
5,21,20,21,3456
6,21,19,20,90
7,21,22,22,112
8,21,19,20,252
9,21,22,24,80
10,21,21,23,6912
11,20,20,23,30
12,21,18,23,576
13,21,21,22,64
14,22,23,23,384
15,23,22,22,880
16,23,20,23,252
17,24,21,22,256
18,24,20,22,544
19,24,23,23,4896
20,23,23,23,2880
21,22,22,24,1536
22,22,20,24,2288
23,22,21,27,17550
24,22,18,23,39900
25,23,19,22,192
26,23,19,22,56
27,23,20,21,16
28,23,18,20,36
29,22,18,20,20
30,23,19,22,128
