Frame,GT objects,reports,Targets,Global Hyp
0,6,2,2,1
1,6,2,2,1
2,7,4,4,2
3,8,3,3,6
4,9,7,7,4
5,9,6,6,12
6,9,6,8,8
7,9,5,6,6
8,9,5,5,6
9,10,5,6,2
10,10,8,8,4
11,10,5,6,16
12,10,5,6,10
13,10,5,6,2
14,10,7,8,6
15,9,4,7,4
16,10,5,7,20
17,10,3,5,7
18,10,4,5,2
19,10,6,7,4
20,10,4,6,2
21,10,3,6,1
22,10,2,4,1
23,10,4,4,10
24,9,2,2,3
25,9,2,2,1
26,9,3,3,4
27,9,2,2,2
28,9,2,2,4
29,9,2,2,1
30,9,2,2,1
31,9,6,7,1
32,9,5,5,16
33,9,7,7,36
34,9,5,5,24
35,9,5,6,6
36,9,4,4,30
37,9,4,4,6
38,9,3,5,14
39,9,3,3,2
40,7,3,4,1
41,7,2,3,2
42,7,3,4,1
43,7,3,3,2
44,6,3,3,2
45,6,2,3,1
46,6,4,4,1
47,6,4,5,2
48,6,4,6,1
49,6,3,5,1
50,6,3,4,2
51,6,3,4,1
52,6,3,3,2
53,6,2,4,1
54,6,1,3,1
55,5,1,3,1
56,5,1,1,1
57,5,1,1,1
58,5,1,1,1
59,5,1,1,1
60,5,1,1,1
61,5,1,1,1
62,5,2,2,1
63,5,2,2,1
64,5,2,2,1
65,6,1,2,1
66,6,1,1,1
67,6,1,1,1
68,8,1,1,1
69,8,2,2,1
70,8,1,1,1
71,8,2,2,1
72,8,2,2,1
73,8,1,1,2
74,8,2,2,2
75,8,2,2,1
76,8,2,2,2
77,8,2,2,1
78,8,1,2,1
79,8,1,2,1
80,8,1,2,1
81,8,1,1,1
82,8,1,1,1
83,8,1,1,2
84,8,1,1,2
85,9,1,1,1
86,9,2,2,1
87,9,2,2,1
88,9,1,2,1
89,8,1,1,1
90,8,2,2,1
91,8,3,3,1
92,10,2,3,1
93,10,2,2,1
94,10,2,2,1
95,10,2,2,2
96,9,3,3,1
97,9,2,2,1
98,9,3,4,2
99,9,3,3,3
100,9,3,3,2
101,9,1,2,2
102,9,1,2,2
103,9,1,2,2
104,9,1,2,1
105,9,2,2,2
106,9,2,2,1
107,9,2,2,1
108,9,2,2,1
109,9,2,2,1
110,9,2,2,1
111,9,2,2,1
112,9,2,3,1
113,9,1,2,1
114,9,1,2,1
115,9,1,1,1
116,9,1,1,1
117,9,2,2,1
118,9,2,2,2
119,9,2,2,2
120,9,3,3,1
121,9,2,2,1
122,9,2,2,1
123,9,3,3,2
124,9,3,3,2
125,9,2,3,2
126,9,2,3,1
127,9,3,4,2
128,10,2,3,1
129,10,5,6,1
130,10,5,5,4
131,10,3,4,2
132,10,2,5,1
133,10,2,5,2
134,10,2,3,4
135,10,2,3,1
136,10,5,5,1
137,10,3,4,2
138,10,4,5,4
139,10,3,3,3
140,9,3,3,2
141,9,3,3,2
142,9,3,4,1
143,9,4,4,4
144,9,2,3,2
145,9,2,3,2
146,9,3,4,2
147,9,4,5,4
148,9,3,3,6
149,9,2,3,2
150,9,1,3,1
151,9,1,3,2
152,9,2,2,1
153,9,2,2,1
154,9,2,2,1
155,9,3,3,2
156,9,3,3,2
157,9,2,2,1
158,9,3,3,1
159,9,5,5,2
160,8,4,4,4
161,8,5,5,4
162,8,2,4,4
163,8,4,5,7
164,8,3,4,6
165,8,2,5,10
166,8,2,3,12
167,8,3,3,4
168,8,2,2,1
169,8,3,4,1
170,8,1,2,2
171,8,2,3,1
172,8,1,2,1
173,8,1,1,1
174,8,1,1,2
175,8,1,1,2
176,8,1,1,2
177,8,2,2,1
178,8,3,3,2
179,8,4,5,2
180,8,3,3,2
181,8,3,3,1
182,8,3,3,1
183,8,3,4,1
184,9,3,4,2
185,9,3,4,1
186,9,4,5,2
187,9,4,4,1
188,9,4,5,1
189,9,2,4,2
190,9,4,5,4
191,9,3,4,5
192,9,3,3,6
193,9,4,4,1
194,9,4,5,6
195,9,2,3,3
196,9,3,4,2
197,9,3,3,6
198,9,3,3,2
199,9,3,3,1
200,9,4,4,1
201,9,4,4,1
202,9,4,4,2
203,9,3,3,2
204,7,3,4,3
205,7,3,3,1
206,6,5,5,2
207,6,4,4,2
208,6,3,4,4
209,6,3,4,12
210,6,3,4,4
211,6,4,6,3
212,6,4,4,12
213,6,4,5,2
214,6,3,4,2
215,6,3,4,1
216,6,5,5,4
217,6,3,4,3
218,6,2,4,1
219,6,4,4,2
220,6,4,5,2
221,6,4,5,2
222,6,3,4,4
223,6,6,6,2
224,7,6,7,2
225,7,6,7,6
226,7,5,8,4
227,7,6,8,12
228,8,7,8,24
229,8,7,7,4
230,8,9,10,4
231,8,11,13,4
232,8,6,8,16
233,9,6,9,6
234,9,8,9,8
235,9,9,11,2
236,10,6,9,48
237,10,6,9,18
238,10,5,9,4
239,8,6,8,4
240,6,5,7,6
241,9,5,6,3
242,9,6,6,2
243,9,6,8,2
244,10,5,8,8
245,10,8,10,32
246,9,7,7,12
247,9,8,9,32
248,9,6,7,16
249,11,7,9,24
250,11,9,12,24
251,11,7,8,36
252,13,7,9,4
253,13,6,7,4
254,11,10,12,8
255,11,8,9,12
256,12,6,8,4
257,11,7,11,6
258,10,6,9,6
259,10,5,8,64
260,9,5,6,8
261,8,3,5,24
262,8,3,6,12
263,8,3,5,8
264,8,3,4,18
265,8,4,4,8
266,8,5,6,12
267,8,5,6,4
