Frame,GT objects,reports,Targets,Global Hyp
0,22,12,12,1
1,22,15,15,8
2,21,14,16,24
3,21,16,16,36
4,21,15,16,48
5,21,16,18,48
6,21,15,18,10
7,21,14,18,8
8,21,16,17,24
9,21,11,14,120
10,21,11,16,64
11,20,11,13,72
12,21,12,15,32
13,21,13,15,240
14,22,8,11,12
15,23,11,11,2
16,23,10,11,6
17,24,7,11,1
18,24,7,10,1
19,24,5,8,1
20,23,8,10,1
21,22,6,8,1
22,22,6,8,1
23,22,8,10,1
24,22,6,6,1
25,23,8,9,1
26,23,8,8,3
27,23,10,10,3
28,23,6,6,1
29,22,8,8,2
30,23,5,7,6
31,23,7,8,2
32,23,7,9,12
33,22,9,11,4
34,22,11,13,8
35,22,10,13,24
36,21,8,11,12
37,21,8,10,28
38,21,7,10,32
39,22,7,10,24
40,22,11,11,18
41,22,9,10,4
42,23,7,10,6
43,23,5,9,1
44,24,8,10,2
45,23,11,12,16
46,23,11,13,36
47,23,9,10,36
48,23,13,14,16
49,22,12,13,16
50,22,11,15,64
51,22,10,13,96
52,23,9,11,176
53,23,12,13,64
54,23,10,12,96
55,23,13,14,32
56,23,9,13,80
57,25,10,13,144
58,25,11,14,80
59,25,9,12,24
60,25,8,12,33
61,25,13,13,8
62,25,14,17,224
63,25,9,10,640
64,25,11,13,2
65,27,14,16,6
66,27,14,16,96
67,27,12,15,90
68,27,15,17,18
69,27,12,14,9
70,27,12,14,8
71,27,12,15,6
72,26,13,16,21
73,27,13,16,48
74,27,11,15,42
75,28,13,16,4
76,28,14,17,24
77,28,13,14,48
78,28,14,14,16
79,28,13,15,5
80,28,10,15,8
81,28,11,14,12
82,28,12,17,6
83,29,13,16,16
84,30,11,13,48
85,30,15,15,24
86,30,13,13,40
87,30,14,15,48
