Frame,GT objects,reports,Targets,Global Hyp
0,17,18,18,1
1,17,23,23,24
2,17,22,23,42
3,17,21,21,56
4,17,22,23,44
5,17,24,24,336
6,17,21,23,312
7,17,22,23,192
8,17,24,25,72
9,17,19,24,1040
10,17,21,23,252
11,17,19,23,24
12,17,21,23,336
13,16,19,22,224
14,16,21,23,36
15,16,19,22,80
16,16,21,26,90
17,16,19,22,120
18,16,20,22,384
19,15,20,21,288
20,15,21,23,336
21,15,21,25,1728
22,16,21,29,6912
23,14,20,22,26400
24,14,18,24,36
25,15,17,22,204
26,15,16,20,384
27,15,16,17,96
28,15,17,19,384
29,15,15,18,96
30,15,15,21,128
31,15,15,18,192
32,15,13,16,72
33,15,14,15,100
34,14,13,14,4
35,14,13,14,2
36,14,14,14,8
37,14,13,13,6
38,14,13,15,8
39,14,14,15,24
40,14,13,14,24
41,14,13,15,20
42,14,13,13,8
43,14,13,13,3
44,14,13,13,4
45,14,13,13,2
46,14,13,13,1
47,14,13,14,32
48,14,13,13,2
49,14,13,15,4
50,14,14,15,2
51,14,13,14,8
52,14,14,14,2
53,14,13,14,8
54,14,13,14,2
55,14,11,14,64
56,14,11,13,16
57,13,12,13,4
58,13,12,14,8
59,13,12,14,6
60,13,13,15,4
61,13,12,12,6
62,13,12,12,4
63,13,13,14,4
64,13,14,16,2
65,13,13,15,32
66,13,13,15,32
67,13,14,14,16
68,13,13,15,4
69,13,12,15,20
70,13,11,15,32
71,13,13,14,32
72,13,13,13,2
73,13,13,13,2
74,13,13,13,8
75,13,13,13,4
76,13,13,13,4
77,12,13,14,12
78,12,13,14,48
79,12,11,13,16
80,13,12,12,16
81,13,12,12,4
82,13,15,15,16
83,13,14,14,6
84,13,14,14,4
85,13,14,15,8
86,13,14,15,4
87,13,14,14,8
88,13,14,14,4
89,14,14,14,4
90,15,13,14,4
91,15,13,14,2
92,15,13,14,32
93,15,13,13,16
94,15,14,14,8
95,15,13,13,16
96,15,15,16,8
97,15,11,13,12
98,15,12,13,2
99,14,11,14,2
100,13,10,12,8
101,13,12,15,4
102,12,10,11,4
103,12,10,13,4
104,12,11,13,32
105,12,10,12,6
106,12,10,10,6
107,12,9,10,4
108,13,9,11,2
109,13,10,10,16
110,13,9,9,4
111,13,9,10,4
112,13,10,10,3
113,13,9,10,2
114,13,10,11,4
115,12,9,11,4
116,12,9,10,16
117,12,10,10,4
118,12,10,10,32
119,12,8,10,16
120,12,10,10,16
121,12,10,10,2
122,13,10,10,2
123,13,10,10,4
124,13,10,10,2
125,13,9,10,2
126,13,9,10,4
127,12,10,11,2
128,12,10,10,4
129,12,10,10,8
130,12,9,11,2
131,12,9,11,4
132,12,8,11,4
133,12,8,9,2
134,12,8,10,8
135,12,8,9,2
136,12,7,9,8
137,12,8,8,2
138,12,10,10,1
139,12,8,9,2
140,12,7,8,1
141,12,7,8,2
142,12,7,7,16
143,11,7,7,1
144,11,7,7,1
145,11,7,7,2
146,11,7,7,1
147,11,6,7,2
148,11,6,7,4
149,11,7,7,1
150,10,8,8,2
151,10,6,7,4
152,10,8,8,1
153,10,6,7,2
154,10,8,9,2
155,10,6,7,2
156,10,6,6,4
157,10,6,6,1
158,10,6,8,1
159,10,7,7,4
160,9,6,6,1
161,9,7,7,2
162,9,7,8,2
163,9,7,7,2
164,9,8,8,4
165,9,8,8,12
166,9,8,8,1
167,9,8,9,1
168,9,8,9,8
169,9,8,8,2
170,9,8,8,1
171,10,8,8,2
172,10,7,8,2
173,10,6,8,2
174,10,6,8,2
175,10,7,7,8
176,10,7,7,1
177,10,7,8,2
178,10,7,8,2
179,10,7,8,1
