Frame,GT objects,reports,Targets,Global Hyp
0,6,5,5,1
1,6,5,5,1
2,6,5,5,1
3,6,5,5,1
4,6,5,5,1
5,6,5,5,1
6,6,4,5,1
7,6,5,6,4
8,7,4,5,1
9,7,4,4,1
10,7,4,4,2
11,7,6,6,1
12,7,7,7,1
13,7,6,7,1
14,7,6,7,1
15,7,5,7,2
16,7,5,6,1
17,7,6,8,1
18,7,6,6,2
19,7,6,6,1
20,7,6,6,2
21,7,6,6,4
22,7,6,6,4
23,7,5,6,2
24,7,6,6,2
25,7,6,7,2
26,7,6,7,1
27,7,6,7,8
28,7,6,6,2
29,7,5,6,1
30,7,5,6,4
31,7,5,6,1
32,7,4,5,1
33,7,5,5,1
34,7,5,5,1
35,7,5,5,2
36,7,5,5,1
37,7,5,5,2
38,7,5,5,4
39,7,5,5,4
40,8,5,5,2
41,8,5,5,3
42,8,5,6,2
43,8,5,6,1
44,8,5,7,1
45,8,5,5,1
46,8,5,5,2
47,8,6,6,1
48,8,7,8,2
49,8,5,6,1
50,8,5,5,1
51,8,5,6,1
52,8,5,5,2
53,8,4,5,1
54,8,5,5,2
55,8,6,7,1
56,8,7,7,4
57,8,6,8,2
58,8,7,7,2
59,8,5,8,1
60,7,7,8,4
61,8,7,9,4
62,8,8,8,1
63,8,8,9,4
64,8,8,8,1
65,8,8,8,1
66,8,7,8,2
67,8,7,8,2
68,8,7,8,2
69,8,6,8,1
70,8,7,7,4
71,8,7,7,4
72,8,7,7,1
73,8,7,7,2
74,8,7,7,2
75,8,8,8,1
76,8,8,8,1
77,8,7,8,2
78,8,7,7,4
79,8,7,7,4
80,7,7,7,8
81,7,7,7,4
82,7,7,7,2
83,7,7,7,4
84,7,6,7,2
85,7,6,7,2
86,7,6,7,1
87,7,7,7,1
88,7,8,8,2
89,7,7,8,2
90,7,8,8,1
91,7,8,8,2
92,7,7,8,1
93,7,7,8,1
94,7,7,7,1
95,7,7,7,1
96,7,7,7,1
97,7,7,7,2
98,7,7,7,1
99,7,6,7,4
100,7,6,7,2
101,7,6,7,1
102,7,6,6,2
103,7,6,6,1
104,7,5,6,2
105,7,5,6,2
106,7,5,6,2
107,7,5,5,1
108,7,5,5,4
109,7,5,5,1
110,7,5,5,2
111,7,5,6,1
112,7,5,5,2
113,7,5,5,4
114,7,5,6,4
115,7,4,5,2
116,7,4,5,2
117,7,4,4,1
118,7,4,5,1
119,7,4,4,4
120,7,4,4,1
121,7,4,4,2
122,7,4,4,1
123,7,4,4,2
124,7,4,4,2
125,7,4,4,3
126,7,4,4,4
127,7,4,4,1
128,7,4,4,1
129,7,4,4,4
130,7,6,6,2
131,7,5,5,2
132,7,4,6,4
133,7,4,4,4
134,8,4,5,2
135,8,5,5,2
136,8,5,5,4
137,8,4,6,2
138,8,5,5,8
139,8,5,7,2
140,8,5,6,4
141,8,5,5,4
142,8,5,5,4
143,9,5,6,2
144,10,5,5,16
145,10,5,5,4
146,10,5,5,2
147,10,6,7,2
148,10,6,6,4
149,10,5,6,2
150,10,4,5,4
151,10,4,5,3
152,10,5,6,4
153,10,4,4,1
154,10,6,7,1
155,10,7,8,8
156,10,6,7,16
157,10,6,7,4
158,10,6,7,3
159,10,6,6,4
160,10,6,6,4
161,10,8,8,4
162,10,6,7,4
163,10,6,10,4
164,10,6,7,8
165,10,6,6,2
166,10,4,6,4
167,10,5,6,2
168,10,7,7,3
169,10,6,8,2
170,10,6,8,2
171,10,6,8,4
172,10,7,9,4
173,10,7,8,4
174,10,7,9,8
175,10,6,8,4
176,10,6,7,2
177,10,6,7,1
178,10,6,7,2
179,10,6,6,6
180,11,5,7,1
181,11,6,9,3
182,11,7,8,4
183,11,7,8,4
184,11,8,8,12
185,12,6,8,4
186,12,7,7,16
187,12,9,9,2
188,12,8,9,2
189,12,7,9,6
190,12,8,9,4
191,12,9,9,8
192,12,8,9,2
193,12,7,9,4
