Frame,GT objects,reports,Targets,Global Hyp
0,22,19,19,1
1,22,20,20,16
2,21,18,20,4
3,21,19,19,12
4,21,20,21,18
5,21,17,19,48
6,21,20,20,8
7,21,19,19,4
8,21,21,21,6
9,21,22,22,24
10,21,21,21,2304
11,20,19,20,8
12,21,19,21,28
13,21,21,21,6
14,22,20,21,6
15,23,19,21,24
16,23,20,20,18
17,24,21,22,12
18,24,20,21,30
19,24,20,22,18
20,23,20,20,54
21,22,20,22,8
22,22,19,22,60
23,22,21,24,96
24,22,19,23,456
25,23,21,23,48
26,23,23,25,96
27,23,24,24,1920
28,23,19,22,384
29,22,21,25,1680
30,23,18,21,648
31,23,18,21,48
32,23,17,20,256
33,22,16,18,56
34,22,15,18,64
35,22,17,18,16
36,21,19,19,8
37,21,18,19,48
38,21,16,18,48
39,22,15,17,96
40,22,15,16,12
41,22,16,16,4
42,23,15,15,6
43,23,14,15,2
44,24,15,15,4
45,23,20,21,8
46,23,18,18,12
47,23,18,20,84
48,23,17,17,288
49,22,17,17,36
50,22,18,18,48
51,22,16,17,216
52,23,18,18,48
53,23,17,19,168
54,23,17,18,512
55,23,16,19,416
56,23,17,18,288
57,25,17,18,24
58,25,17,17,12
59,25,18,18,24
60,25,19,19,36
61,25,19,19,24
62,25,20,20,1296
63,25,21,21,1440
64,25,20,21,324
65,27,19,19,108
66,27,21,21,960
67,27,22,22,144
68,27,19,19,72
69,27,24,24,96
70,27,23,23,432
71,27,22,23,480
72,26,23,24,3456
73,27,21,22,432
74,27,26,26,2400
75,28,24,24,10800
76,28,22,24,2304
