Frame,GT objects,reports,Targets,Global Hyp
0,6,4,4,1
1,6,5,5,2
2,7,7,7,3
3,8,5,5,5
4,9,5,7,5
5,9,5,8,8
6,9,6,9,5
7,9,7,8,12
8,9,7,8,8
9,10,8,11,10
10,10,9,11,4
11,10,7,10,6
12,10,6,9,72
13,10,7,10,36
14,10,7,9,144
15,9,7,8,18
16,10,14,15,2
17,10,15,15,16
18,10,13,13,8
19,10,11,14,36
20,10,12,13,40
21,10,15,15,24
22,10,11,14,28
23,10,13,15,130
24,9,9,14,40
25,9,9,15,23
26,9,8,15,18
27,9,7,9,26
28,9,6,9,6
29,9,6,7,20
30,9,5,7,11
31,9,5,6,11
32,9,5,6,4
33,9,6,7,18
34,9,7,8,68
35,9,7,7,48
36,9,7,7,5
37,9,7,8,48
38,9,7,8,18
39,9,6,9,6
40,7,6,8,8
41,7,6,11,2
42,7,5,11,2
43,7,3,11,1
44,6,5,6,16
45,6,7,8,16
46,6,7,9,1
47,6,4,8,1
48,6,5,7,1
49,6,3,5,2
50,6,4,4,3
51,6,6,7,2
52,6,2,4,2
53,6,4,6,2
54,6,4,5,4
55,5,4,5,2
56,5,4,5,1
57,5,4,5,1
58,5,2,3,1
59,5,3,4,1
60,5,3,3,1
61,5,3,3,1
62,5,3,3,1
63,5,3,3,1
64,5,2,3,1
65,6,2,3,1
66,6,2,3,1
67,6,3,3,1
68,8,4,4,1
69,8,5,5,2
70,8,5,5,2
71,8,5,6,4
72,8,4,4,7
73,8,5,5,2
74,8,3,4,3
75,8,5,5,2
76,8,4,4,3
77,8,4,4,1
78,8,4,4,1
79,8,4,4,1
80,8,4,4,1
81,8,4,4,1
82,8,4,4,2
83,8,4,4,1
84,8,4,5,1
85,9,4,5,1
86,9,5,5,1
87,9,4,6,1
88,9,4,5,1
89,8,4,5,1
90,8,4,6,1
91,8,5,5,4
92,10,6,6,2
93,10,5,5,4
94,10,6,6,2
95,10,4,5,2
96,9,4,5,1
97,9,5,5,2
98,9,5,5,3
99,9,5,5,2
100,9,5,5,2
101,9,4,5,4
102,9,4,5,8
103,9,4,5,8
104,9,4,4,9
105,9,5,5,2
106,9,5,5,2
107,9,5,5,4
108,9,5,5,2
109,9,5,5,2
110,9,5,5,2
111,9,5,5,2
112,9,5,5,2
113,9,4,5,3
114,9,3,5,3
115,9,3,5,3
116,9,3,4,3
117,9,3,3,1
118,9,3,3,1
119,9,4,4,1
120,9,4,4,1
121,9,3,4,1
122,9,4,4,1
123,9,4,4,1
124,9,4,4,1
125,9,4,4,1
126,9,4,4,1
127,9,4,4,1
128,10,4,4,1
129,10,5,5,2
130,10,4,4,3
131,10,4,4,2
132,10,4,5,3
133,10,4,5,2
134,10,4,4,2
135,10,3,4,1
136,10,3,4,1
137,10,4,4,1
138,10,3,4,1
139,10,5,5,1
140,9,4,4,1
141,9,5,5,1
142,9,5,5,1
143,9,4,5,1
144,9,4,4,1
145,9,4,4,1
146,9,5,5,2
147,9,3,4,3
148,9,4,4,1
149,9,4,4,1
150,9,3,4,1
151,9,3,4,1
152,9,2,4,1
153,9,4,4,2
154,9,4,4,3
155,9,4,4,3
156,9,4,4,2
157,9,5,5,2
158,9,6,6,3
159,9,8,8,4
160,8,8,8,1
161,8,8,8,1
162,8,6,8,1
163,8,7,8,1
164,8,8,8,1
165,8,7,9,2
166,8,7,8,2
167,8,6,8,1
168,8,6,7,2
169,8,8,9,6
170,8,4,7,8
171,8,5,6,3
172,8,6,8,2
173,8,6,7,2
174,8,3,7,1
175,8,5,5,3
176,8,3,5,1
177,8,8,8,2
178,8,7,7,3
179,8,7,7,1
180,8,7,7,1
181,8,8,8,1
182,8,8,8,1
183,8,8,8,1
184,9,8,8,1
185,9,8,8,1
186,9,8,8,1
187,9,8,8,1
188,9,7,8,1
189,9,8,9,3
190,9,8,8,6
191,9,8,8,1
192,9,8,8,1
193,9,9,9,1
194,9,7,8,2
195,9,7,8,2
196,9,8,8,2
197,9,8,8,1
198,9,6,8,3
199,9,6,8,7
200,9,7,8,9
201,9,7,7,7
202,9,7,7,1
203,9,5,7,1
204,7,8,8,2
205,7,7,8,4
206,6,6,8,4
207,6,6,8,8
208,6,6,7,3
209,6,5,7,3
210,6,6,7,3
211,6,6,7,3
212,6,5,6,3
213,6,6,7,3
214,6,5,6,6
215,6,5,6,6
216,6,6,7,9
217,6,6,6,6
218,6,6,6,6
219,6,6,6,6
220,6,6,6,6
221,6,6,7,3
222,6,6,8,3
223,6,6,7,6
224,7,6,6,6
225,7,6,6,6
226,7,6,6,3
227,7,6,7,3
228,8,6,6,6
229,8,7,7,3
230,8,7,7,3
231,8,7,7,3
232,8,8,8,6
233,9,7,8,24
234,9,7,8,18
235,9,7,9,12
236,10,9,10,15
237,10,9,12,25
238,10,5,10,10
239,8,4,9,5
240,6,4,7,5
241,9,7,9,12
242,9,4,5,12
243,9,5,6,12
244,10,6,7,12
245,10,7,8,8
246,9,8,8,2
247,9,5,6,4
248,9,8,9,3
249,11,6,7,4
250,11,6,8,4
251,11,7,8,2
252,13,7,9,3
253,13,7,7,4
254,11,9,10,4
255,11,8,12,9
256,12,8,11,3
257,11,7,11,2
258,10,6,7,2
259,10,6,10,2
260,9,6,9,8
261,8,4,9,12
262,8,4,5,48
263,8,5,5,2
264,8,5,6,12
265,8,5,6,3
266,8,5,5,16
267,8,5,5,2
268,10,4,5,3
269,11,6,10,3
270,11,5,9,1
271,11,4,8,1
272,11,5,5,2
273,10,5,7,2
274,10,5,6,8
275,10,5,6,3
276,10,5,6,2
277,10,5,7,4
278,10,6,8,1
279,10,6,7,4
280,10,6,8,1
281,10,5,5,2
282,10,5,6,2
283,10,7,7,3
284,9,6,7,4
285,9,8,10,1
286,9,8,11,4
287,9,9,12,2
288,8,6,10,8
289,8,7,9,72
290,8,6,9,12
291,8,6,10,8
292,9,7,9,24
293,9,5,6,4
294,9,7,7,16
295,9,6,9,18
296,10,8,11,8
297,10,6,9,4
298,10,6,9,2
299,11,6,8,4
300,11,7,8,24
301,11,8,11,4
302,13,7,10,3
303,14,8,11,2
304,14,9,12,4
305,13,7,10,2
306,13,8,9,4
307,13,8,9,8
308,12,8,9,12
309,11,8,9,8
310,11,8,9,4
311,11,7,10,1
312,12,7,9,4
313,11,9,9,2
314,11,7,9,6
315,11,6,7,3
316,10,6,8,4
317,10,6,7,8
318,9,5,9,4
319,9,4,7,9
320,9,5,9,8
321,9,5,9,2
322,9,8,11,2
323,10,7,10,6
324,12,6,8,2
325,12,7,7,1
326,11,7,11,1
327,11,7,9,1
328,11,6,9,1
329,11,7,9,8
330,11,7,9,72
331,11,6,10,9
332,10,6,8,2
333,10,7,10,4
334,9,8,8,4
335,9,7,8,4
336,8,7,7,36
337,9,7,7,9
338,9,7,7,2
339,8,6,8,2
340,9,6,8,2
341,8,7,9,3
342,8,8,10,2
343,8,7,10,4
344,8,7,10,2
345,8,6,8,4
346,7,6,9,1
347,7,6,8,2
348,7,4,8,1
349,6,4,5,1
350,6,5,7,1
351,6,5,6,2
352,8,7,8,4
353,8,7,8,6
354,8,6,9,4
355,8,5,8,3
356,8,5,7,48
357,7,5,5,24
358,7,5,10,1
359,7,5,9,4
360,7,5,9,4
361,7,5,6,2
362,7,6,6,4
363,7,6,6,3
364,7,5,6,2
365,7,4,5,1
366,5,4,7,2
367,5,4,5,24
368,5,4,5,16
369,6,4,6,4
370,6,4,5,4
371,6,5,6,2
372,7,5,7,12
373,7,6,7,32
374,8,6,8,2
375,10,7,9,3
376,10,8,8,16
377,11,7,7,2
378,11,8,8,2
379,11,9,9,4
380,11,8,10,4
381,10,8,10,2
382,10,9,12,2
383,9,9,10,4
384,9,8,9,4
385,9,7,8,8
386,9,8,8,8
387,9,8,9,6
388,9,8,10,10
389,9,9,11,4
390,9,9,12,8
391,9,8,10,12
392,9,8,11,3
393,9,7,9,4
394,9,7,8,16
395,9,7,9,15
396,8,7,9,28
397,8,7,7,8
398,8,5,8,2
399,7,5,9,1
400,7,4,9,1
401,6,4,5,2
402,6,5,5,2
403,6,5,5,1
404,5,4,5,1
405,4,5,6,2
406,4,3,4,3
407,4,5,5,2
408,4,3,4,3
409,4,3,4,1
410,4,3,4,1
411,4,5,5,4
412,4,4,4,2
413,5,3,4,1
414,6,4,4,1
415,6,5,5,1
416,6,4,5,2
417,6,5,5,2
418,6,4,5,4
419,6,4,5,4
420,6,4,4,1
421,6,5,5,2
422,6,4,5,3
423,6,5,5,2
424,6,4,5,2
425,6,4,4,1
426,6,4,5,1
427,6,4,4,1
428,7,5,5,2
429,7,5,5,1
430,7,5,6,1
431,8,5,5,2
432,8,5,5,1
433,8,5,6,1
434,8,4,4,1
435,8,5,5,2
436,9,5,5,3
437,9,6,6,3
438,9,4,6,3
439,9,3,7,3
440,10,4,8,2
441,10,4,7,1
442,10,4,5,2
443,10,6,7,4
444,9,7,7,2
445,9,8,9,1
446,9,8,9,4
447,9,7,8,2
448,9,8,8,2
449,9,8,10,2
450,9,9,11,24
451,9,8,11,3
452,9,9,11,2
453,9,8,12,32
454,9,8,10,12
455,9,9,9,12
456,9,8,10,8
457,9,7,11,36
458,9,6,11,15
459,9,6,9,6
460,8,6,8,2
461,8,5,5,4
462,8,5,5,2
463,8,6,7,2
464,7,6,7,1
465,7,6,8,1
466,7,6,6,2
467,7,6,6,2
468,6,6,7,6
469,6,5,7,1
470,6,5,7,1
471,6,5,6,1
472,5,5,5,2
473,5,5,5,1
474,5,5,6,1
475,5,5,5,4
476,5,5,5,4
477,5,5,5,1
478,5,5,5,1
479,5,4,6,2
480,5,4,6,2
481,5,4,6,8
482,5,4,7,27
483,5,4,7,24
484,5,4,6,18
485,5,4,4,16
486,5,4,4,12
487,5,5,6,24
488,5,5,6,6
489,5,5,5,4
490,5,5,5,3
491,5,5,6,1
492,5,4,5,1
493,5,4,5,2
494,5,4,4,1
495,5,4,4,2
496,5,5,5,2
497,5,5,5,2
498,5,5,5,2
499,5,5,5,2
500,5,5,5,4
501,5,5,7,2
502,5,5,7,8
503,5,5,7,2
504,6,5,7,3
505,6,4,5,2
506,6,4,5,1
507,6,5,6,1
508,6,5,6,1
509,6,4,7,2
510,7,5,5,8
511,7,5,6,3
512,7,5,9,2
513,7,5,7,4
514,7,5,6,1
515,7,4,7,1
516,7,4,6,1
517,6,5,9,1
518,6,4,6,2
519,6,3,4,1
520,6,4,5,4
521,6,3,4,2
522,6,3,4,1
523,6,3,4,2
524,7,3,4,1
525,7,4,6,4
526,7,6,6,6
527,7,6,6,4
528,7,6,9,4
529,7,5,8,3
530,8,6,9,2
531,8,7,9,8
532,8,6,9,2
533,8,7,12,4
534,8,6,8,18
535,8,6,10,1
536,9,6,8,4
537,9,6,8,1
538,9,6,6,2
539,9,6,8,2
540,9,6,10,12
541,8,6,9,3
542,8,6,7,12
543,8,8,9,24
544,8,6,6,12
545,8,6,8,4
546,7,6,10,2
547,7,6,11,2
548,7,4,7,1
549,7,5,6,2
550,7,5,6,2
551,7,5,6,4
552,8,5,5,36
553,8,6,6,27
554,9,5,6,12
555,9,6,7,2
556,9,6,7,4
557,9,6,7,3
558,9,7,9,8
559,9,6,6,36
560,9,7,10,12
561,9,6,8,12
562,8,5,11,18
563,8,4,8,12
564,8,4,7,6
565,8,4,4,4
566,7,4,6,2
567,7,5,7,2
568,7,4,6,4
569,7,4,4,3
570,7,4,4,2
571,7,4,5,3
572,6,3,4,1
573,6,3,5,1
574,6,2,3,1
575,6,3,4,1
576,6,2,3,2
577,6,2,2,4
578,6,3,3,3
579,5,2,2,4
580,5,3,5,5
581,5,3,5,2
582,6,3,5,2
583,5,4,5,3
584,6,3,4,2
585,6,3,5,1
586,6,3,4,2
587,6,3,4,2
588,6,3,5,1
589,6,4,6,1
590,6,3,5,2
591,6,3,3,6
592,6,3,4,8
593,6,3,3,12
594,6,2,2,1
595,6,3,5,1
596,6,2,3,1
597,6,3,3,2
598,5,3,3,2
599,5,3,3,3
600,5,3,4,1
601,5,3,3,1
602,5,3,3,1
603,5,3,3,1
604,5,3,3,1
605,5,2,3,1
606,5,2,3,1
607,5,2,3,1
