Frame,GT objects,reports,Targets,Global Hyp
0,19,16,16,1
1,19,17,17,1
2,19,18,19,8
3,19,15,17,24
4,19,17,19,35
5,19,18,18,160
6,19,18,19,40
7,19,16,17,100
8,19,16,16,36
9,20,17,17,18
10,20,17,17,21
11,20,19,19,29
12,20,17,17,31
13,20,15,17,22
14,20,15,18,8
15,20,15,18,60
16,20,17,18,144
17,20,15,16,76
18,20,16,17,31
19,20,14,16,40
20,20,14,15,20
21,20,17,17,21
22,20,14,16,19
23,20,17,19,13
24,20,15,18,352
25,20,20,21,24
26,20,19,21,400
27,20,17,21,208
28,20,16,20,560
29,20,18,21,112
30,20,15,19,30
31,20,15,18,38
32,20,18,19,25
33,20,16,17,56
34,19,16,17,30
35,19,16,17,16
36,19,14,17,54
37,19,14,15,24
38,19,14,15,5
39,20,15,16,12
40,22,16,16,16
41,22,13,16,10
42,22,15,16,25
43,22,15,16,14
44,22,15,17,11
45,22,16,18,36
46,22,13,17,92
47,22,16,17,11
48,22,16,16,13
49,23,15,17,10
50,22,14,16,6
51,21,14,15,8
52,21,14,14,10
53,20,15,15,5
54,20,17,17,8
55,20,15,15,14
56,20,16,16,8
57,20,15,15,6
58,20,16,18,16
59,19,17,19,30
60,18,14,18,16
61,18,15,17,34
62,18,17,17,24
63,18,16,16,12
64,17,14,17,9
65,17,15,17,8
66,16,14,17,46
67,17,14,15,48
68,17,15,16,10
69,17,12,15,8
70,15,11,15,3
71,15,11,15,3
72,14,11,12,1
73,14,11,11,1
74,14,12,12,2
75,14,12,12,1
76,14,12,12,1
77,14,12,12,1
78,14,12,12,1
79,14,12,12,1
80,14,12,12,1
81,14,11,12,1
82,13,11,12,1
83,13,12,13,2
84,13,11,11,8
85,13,11,11,1
86,13,10,11,1
87,13,11,12,2
88,13,12,13,2
89,14,12,14,4
90,14,12,13,4
91,15,11,12,3
92,15,12,12,2
93,15,12,12,6
94,16,10,11,3
95,16,12,13,5
96,16,9,11,20
97,17,11,11,12
98,16,10,10,6
99,16,11,11,3
100,16,11,11,10
101,16,11,12,2
102,16,12,12,1
103,16,11,13,4
104,16,12,12,4
105,16,10,12,2
106,16,11,12,2
107,16,11,12,2
108,16,10,12,2
109,16,11,11,2
110,16,12,12,1
111,16,14,14,2
112,16,13,14,2
113,16,14,14,6
114,16,13,15,12
115,16,14,16,5
116,16,15,16,6
117,16,14,15,1
118,17,14,14,24
119,17,14,14,2
120,17,14,15,8
121,17,15,16,5
122,17,16,17,2
123,18,14,17,8
124,18,14,15,48
125,18,15,15,2
126,19,15,16,2
127,19,15,17,8
128,19,16,17,16
129,19,16,16,1
130,19,14,17,2
131,19,14,17,4
132,19,17,18,4
133,19,15,16,24
134,19,15,15,2
135,19,17,19,2
136,19,17,18,2
137,19,16,18,8
138,19,13,17,24
139,19,15,15,30
140,19,17,18,4
141,19,15,17,6
142,20,16,18,10
143,21,20,21,4
144,21,17,18,10
145,21,14,17,12
146,21,17,19,8
147,21,18,19,32
148,21,17,20,20
149,21,17,19,24
150,21,15,19,2
151,21,14,16,3
152,21,16,16,8
153,21,15,15,4
154,21,15,15,2
155,21,16,16,2
156,21,17,17,2
157,21,17,17,2
158,21,17,17,2
159,21,17,18,8
160,21,17,19,24
161,21,18,19,20
162,20,17,19,16
163,21,18,20,180
164,21,17,19,88
165,21,17,18,240
166,21,18,19,48
167,22,15,16,40
168,21,17,17,4
169,21,16,17,2
170,21,16,17,6
171,21,17,19,6
172,21,18,18,8
173,21,17,17,14
174,22,18,19,12
175,22,20,21,14
176,22,20,20,40
177,22,19,20,6
178,22,20,21,2
179,22,17,19,4
180,23,16,19,4
181,23,17,20,3
182,23,20,21,4
183,23,16,19,8
184,23,17,19,24
185,23,16,18,50
186,23,15,16,25
187,23,15,16,1
188,23,17,17,1
189,23,16,17,1
190,23,17,18,2
191,23,16,17,4
192,23,16,17,2
193,23,16,16,4
194,23,16,17,2
195,23,16,16,4
196,23,17,17,2
197,23,16,16,3
198,23,16,17,2
199,23,15,16,4
200,22,19,19,16
201,22,17,18,4
202,23,16,17,8
203,23,15,17,8
204,23,17,18,32
205,23,17,18,8
206,23,19,20,12
207,23,17,19,24
208,23,18,20,40
209,24,16,18,6
210,24,17,17,6
211,23,16,17,6
212,23,18,19,24
213,23,17,17,30
214,23,17,18,36
215,23,19,20,24
216,23,16,17,32
217,23,17,17,6
218,23,16,17,4
219,23,17,17,4
220,23,17,18,12
221,23,17,18,20
222,23,18,18,28
223,23,17,17,8
224,23,16,18,10
225,23,16,18,20
226,23,15,18,21
227,23,17,17,120
228,23,15,16,2
229,23,15,18,4
230,23,17,19,15
231,24,17,20,168
232,24,16,16,90
233,24,17,17,4
234,25,16,17,6
235,25,15,16,10
236,25,16,18,6
237,25,16,18,20
238,25,15,16,72
239,25,16,16,20
240,25,14,15,6
241,25,15,16,3
242,25,14,15,8
243,25,17,17,24
244,25,14,15,8
245,25,14,15,8
246,25,11,15,8
247,25,12,15,8
248,25,12,14,8
249,25,14,14,5
250,25,14,16,2
251,25,15,16,8
252,26,14,15,5
253,26,14,15,4
254,26,16,16,8
255,26,15,15,4
256,26,13,15,2
257,26,17,17,2
258,26,15,17,2
259,27,16,18,24
260,27,15,16,20
261,27,18,19,10
262,27,17,18,20
263,27,14,16,15
264,27,16,17,4
265,26,17,18,8
266,26,17,18,2
267,26,17,18,2
268,26,16,17,6
269,26,17,20,2
270,26,17,18,4
271,26,17,19,16
272,26,16,18,16
273,26,16,18,12
274,25,17,19,30
275,25,16,17,8
276,25,17,18,24
277,25,17,18,90
278,25,19,20,10
279,24,18,19,50
280,24,20,24,30
281,24,18,21,40
282,24,19,21,120
283,24,20,20,168
284,24,19,21,24
285,24,19,20,70
286,24,17,20,21
287,24,20,21,108
288,24,21,22,72
289,24,20,21,252
290,24,20,22,180
291,24,20,22,576
292,24,17,21,924
293,24,16,21,216
294,24,17,20,66
295,24,16,19,20
296,24,15,17,14
297,24,17,18,20
298,24,18,19,5
299,24,19,19,56
300,24,18,18,15
301,24,19,19,30
302,24,17,20,18
303,24,16,19,40
304,24,16,20,20
305,24,19,19,64
306,24,18,20,40
307,24,16,17,84
308,24,16,17,4
309,24,17,18,3
310,24,17,18,7
311,24,16,18,4
312,24,16,18,4
313,24,19,21,4
314,24,17,19,16
315,24,16,17,40
316,24,20,21,96
317,24,18,20,120
318,24,18,20,60
319,24,17,19,12
320,24,18,18,4
321,24,19,20,12
322,23,17,18,30
323,23,19,20,14
324,23,18,19,44
325,23,18,18,12
326,23,17,18,4
327,23,18,20,8
328,23,16,18,28
329,23,16,17,18
330,23,16,18,12
331,23,13,16,80
332,23,13,16,4
333,23,13,16,8
334,23,14,15,15
335,22,14,14,6
336,22,14,15,8
337,22,13,13,8
338,22,13,14,4
339,22,14,15,4
340,22,13,15,6
341,21,14,16,7
342,21,14,16,3
343,21,12,15,6
344,20,12,15,40
345,20,13,15,44
346,20,10,13,40
347,20,11,13,12
348,20,11,12,8
349,21,11,11,12
350,21,12,12,2
351,20,10,12,2
352,20,10,11,2
353,20,10,11,1
354,20,11,11,2
355,20,10,10,2
356,20,12,12,1
357,20,12,12,1
358,20,12,12,1
359,20,13,13,2
360,20,12,13,3
361,20,12,13,1
362,20,12,13,1
363,20,15,15,3
364,20,11,13,10
365,20,10,13,2
366,20,10,14,5
367,20,9,11,7
368,20,13,13,8
369,20,13,13,10
370,20,12,14,4
371,20,11,13,26
372,20,12,13,112
373,20,13,13,125
374,20,12,12,28
375,20,11,12,5
376,20,11,12,4
377,20,11,12,4
378,20,12,13,4
379,20,12,13,13
380,20,13,14,16
381,20,11,13,22
382,20,11,12,28
383,20,12,13,32
384,21,11,12,21
385,21,11,12,4
386,21,11,12,8
387,21,11,12,24
388,20,11,12,18
389,20,10,11,10
390,20,10,10,4
391,20,10,10,4
392,20,10,10,4
393,20,10,10,4
394,20,10,10,4
395,20,11,11,4
396,19,12,12,4
397,19,13,13,12
398,19,12,12,12
399,19,12,12,8
400,18,13,13,4
401,18,13,13,4
402,19,12,13,4
403,19,13,13,8
404,19,12,13,12
405,19,12,13,16
406,19,12,13,4
407,19,13,13,4
408,19,11,12,4
409,19,13,14,4
410,18,13,15,20
411,18,12,12,28
412,18,12,12,8
413,18,13,14,16
414,18,14,15,64
415,18,13,14,192
416,18,14,14,80
417,18,13,14,24
418,18,14,15,32
419,18,13,15,80
420,18,13,14,48
421,18,14,14,20
422,18,12,14,32
423,18,14,16,64
424,18,16,16,60
425,18,13,16,120
426,18,14,15,160
427,18,13,15,20
428,18,16,16,36
429,18,14,14,12
430,18,14,15,40
